Feature,Importance
S01ED05_drug,4.5140567e-08
B01AX05_drug,4.497548e-08
G04BD04_drug,4.4869314e-08
MW_1935_exam,4.484957e-08
90.22.5_exam,4.414053e-08
88.28_exam,4.4010847e-08
88.72.1_exam,4.2724782e-08
4AA2F09_drug,4.2618645e-08
C08DB01_drug,4.2595833e-08
N02AX06_drug,4.2404356e-08
S01ED01_drug,4.2026254e-08
M01AB05_drug,4.181087e-08
90.38.2_exam,4.1787686e-08
J01DD04_drug,4.1626084e-08
N06AB10_drug,4.150551e-08
C09AA04_drug,4.1399602e-08
90.42.3_exam,4.0593527e-08
J01MA17_drug,4.0442814e-08
M03BX05_drug,4.0333774e-08
R05CB06_drug,4.0308706e-08
C09AA08_drug,4.0043084e-08
J01FA06_drug,4.0019422e-08
90.42.5_exam,4.0013155e-08
90.54.4_exam,3.963776e-08
N02BE01_drug,3.8870365e-08
A10BH01_drug,3.886225e-08
88.27_exam,3.8587558e-08
N06AB03_drug,3.8529592e-08
90.55.2_exam,3.8503792e-08
90.76.1_exam,3.8004544e-08
R05FB01_drug,3.7769205e-08
91.19.5_exam,3.7143266e-08
A03CA01_drug,3.7088064e-08
90.35.5_exam,3.6845694e-08
88.21_exam,3.6758003e-08
89.01_exam,3.671198e-08
R03BA01_drug,3.6704975e-08
C09BA12_drug,3.659593e-08
90.29.2_exam,3.653947e-08
MW_2609_exam,3.6480024e-08
C09AA07_drug,3.6039683e-08
88.26_exam,3.6007464e-08
N04AA02_drug,3.5981614e-08
88.77.2_exam,3.593069e-08
L02BG03_drug,3.5870954e-08
N06AB04_drug,3.568653e-08
N03AX11_drug,3.5553796e-08
90.49.5_exam,3.548028e-08
D07AC14_drug,3.5301394e-08
M03BX01_drug,3.4904563e-08
88.79.8_exam,3.4150858e-08
R03BA03_drug,3.4147902e-08
N07XX_drug,3.4139262e-08
C09AA06_drug,3.409484e-08
C09BA02_drug,3.401166e-08
NULL_drug,3.2891606e-08
91.18.5_exam,3.2880223e-08
C09DA07_drug,3.197319e-08
R03DC03_drug,3.194014e-08
C09CA08_drug,3.172162e-08
A10BD07_drug,3.161673e-08
B01AB_drug,3.1545408e-08
R05CB07_drug,3.153421e-08
87.03_exam,3.1171975e-08
90.06.4_exam,3.1171812e-08
88.94.1_exam,3.1169947e-08
90.38.5_exam,3.113295e-08
A16AA02_drug,3.0067586e-08
90.05.1_exam,2.976892e-08
90.55.3_exam,2.9572382e-08
J01BA02_drug,2.9097293e-08
A12AA04_drug,2.8699782e-08
A10AB06_drug,2.855837e-08
H02AB02_drug,2.8351742e-08
90.33.4_exam,2.8335167e-08
R05DA_drug,2.8141894e-08
N05AD01_drug,2.8102422e-08
90.94.2_exam,2.8096803e-08
90.22.3_exam,2.7936661e-08
87.37.1_exam,2.7727202e-08
A03FA01_drug,2.747197e-08
90.47.3_exam,2.7121624e-08
N06BX06_drug,2.700327e-08
N05AL05_drug,2.6725038e-08
A03FA03_drug,2.6631707e-08
90.74.5_exam,2.634775e-08
4AA2B99_drug,2.6230271e-08
R06AE09_drug,2.6227209e-08
C08CA02_drug,2.568383e-08
90.05.5_exam,2.5473238e-08
A06AD65_drug,2.5441437e-08
88.23_exam,2.4796009e-08
90.10.4_exam,2.4615066e-08
90.32.3_exam,2.45569e-08
90.34.6_exam,2.4405095e-08
C10AA02_drug,2.3668374e-08
87.24_exam,2.3663564e-08
D01AC20_drug,2.3391543e-08
N07CA01_drug,2.2946164e-08
A06AD11_drug,2.241855e-08
4AA2F31_drug,2.2416302e-08
9056501_exam,2.2229734e-08
N02BE51_drug,2.2175481e-08
R03BA02_drug,2.210052e-08
N04BC09_drug,2.1921469e-08
87.44.1_exam,2.1916048e-08
B03AA01_drug,2.1869145e-08
90.19.2_exam,2.168783e-08
87.41.1_exam,2.1609901e-08
4AA2F14_drug,2.104703e-08
90.32.5_exam,2.073622e-08
J01FA10_drug,2.069804e-08
45.23_exam,2.0607546e-08
90.27.4_exam,2.055955e-08
4AA2F10_drug,2.0524238e-08
88.79.2_exam,2.026888e-08
88.79.1_exam,2.0124777e-08
P01BA02_drug,2.0028544e-08
R03BB04_drug,1.9935632e-08
7BB1_drug,1.9852116e-08
